casward2001,ONS,greenspace_pc
00MWQG,00MW,81.54018
00MWQH,00MW,76.14801
00MWQJ,00MW,83.10728
00MWQK,00MW,19.79113
00MWQL,00MW,43.42751
00MWQM,00MW,37.06134
00MWQN,00MW,23.11875
00MWQP,00MW,55.96372
00MWQQ,00MW,27.13832
00MWQR,00MW,77.61916
00MWQS,00MW,46.66031
00MWQT,00MW,75.04495
00MWQU,00MW,94.13412
00MWQW,00MW,41.93703
00MWQX,00MW,56.275
00MWQY,00MW,78.10326
00MWQZ,00MW,77.50682
00MWRA,00MW,72.37201
00MWRB,00MW,85.23306
00MWRC,00MW,80.96201
00MWRD,00MW,92.2379
00NAMA,00NA,89.29514
00NAMB,00NA,60.92706
00NAMC,00NA,88.09544
00NAMD,00NA,85.22061
00NAME,00NA,93.26326
00NAMF,00NA,93.12171
00NAMG,00NA,81.61718
00NAMH,00NA,94.57493
00NAMJ,00NA,88.79743
00NAMK,00NA,41.58051
00NAML,00NA,74.61105
00NAMM,00NA,94.10873
00NAMN,00NA,88.20638
00NAMP,00NA,66.3298
00NAMQ,00NA,38.04725
00NAMR,00NA,67.91288
00NAMS,00NA,91.96188
00NAMT,00NA,82.61756
00NAMU,00NA,95.06085
00NAMW,00NA,93.84846
00NAMX,00NA,92.50603
00NAMY,00NA,85.3119
00NAMZ,00NA,93.03239
00NANA,00NA,95.03448
00NANB,00NA,95.11486
00NANC,00NA,94.20716
00NAND,00NA,24.33589
00NANE,00NA,70.46198
00NANF,00NA,95.13821
00NANG,00NA,89.50488
00NANH,00NA,50.73282
00NANJ,00NA,79.10751
00NANK,00NA,84.77121
00NANL,00NA,40.4301
00NANM,00NA,58.89604
00NANN,00NA,72.33752
00NANP,00NA,84.42498
00NANQ,00NA,83.90829
00NANR,00NA,84.26305
00NANS,00NA,78.7218
00NCQA,00NC,94.82868
00NCQB,00NC,88.68343
00NCQC,00NC,93.69953
00NCQD,00NC,82.66436
00NCQE,00NC,73.8435
00NCQF,00NC,77.64164
00NCQG,00NC,75.89307
00NCQH,00NC,93.1739
00NCQJ,00NC,88.50109
00NCQK,00NC,94.59171
00NCQL,00NC,89.05704
00NCQM,00NC,94.97781
00NCQN,00NC,94.56112
00NCQP,00NC,78.69502
00NCQQ,00NC,95.16924
00NCQR,00NC,95.18385
00NCQS,00NC,89.82384
00NCQT,00NC,94.85875
00NCQU,00NC,37.62105
00NCQW,00NC,89.71562
00NCQX,00NC,50.71409
00NCQY,00NC,74.0626
00NCQZ,00NC,94.86294
00NCRA,00NC,93.39298
00NCRB,00NC,86.7141
00NCRC,00NC,90.03008
00NCRD,00NC,95.12594
00NCRE,00NC,18.60913
00NCRF,00NC,91.10983
00NCRG,00NC,51.67524
00NCRH,00NC,82.06848
00NCRJ,00NC,82.807
00NCRK,00NC,64.15242
00NCRL,00NC,30.70037
00NCRM,00NC,94.85178
00NCRN,00NC,90.06564
00NCRP,00NC,94.21677
00NCRQ,00NC,91.68426
00NCRR,00NC,94.46048
00NCRS,00NC,93.36625
00NCRT,00NC,88.86655
00NCRU,00NC,92.65874
00NCRW,00NC,81.2565
00NCRX,00NC,95.11327
00NCRY,00NC,94.12639
00NCRZ,00NC,94.9636
00NCSA,00NC,56.48019
00NCSB,00NC,42.10536
00NCSC,00NC,75.73212
00NCSD,00NC,89.85268
00NCSE,00NC,94.85763
00NCSF,00NC,62.38027
00NCSG,00NC,47.98675
00NCSH,00NC,95.0291
00NCSJ,00NC,85.44245
00NCSK,00NC,92.54827
00NCSL,00NC,91.62141
00NCSM,00NC,90.84856
00NCSN,00NC,69.89256
00NCSP,00NC,94.20346
00NCSQ,00NC,74.86372
00NCSR,00NC,42.68264
00NCST,00NC,72.5199
00NCSU,00NC,91.23549
00NCSW,00NC,93.146
00NCSX,00NC,94.39059
00NCSY,00NC,91.52537
00NCSZ,00NC,95.16399
00NCTA,00NC,87.36478
00NCTB,00NC,94.30693
00NCTC,00NC,87.47266
00NENT,00NE,82.70967
00NENU,00NE,94.97787
00NENW,00NE,95.01165
00NENX,00NE,66.58712
00NENY,00NE,92.86412
00NENZ,00NE,82.61972
00NEPA,00NE,43.54438
00NEPB,00NE,68.2423
00NEPC,00NE,76.46718
00NEPD,00NE,87.04825
00NEPE,00NE,57.54811
00NEPF,00NE,94.02689
00NEPG,00NE,67.78596
00NEPH,00NE,82.35385
00NEPJ,00NE,67.36765
00NEPK,00NE,65.93314
00NEPL,00NE,78.70868
00NEPM,00NE,51.805
00NEPN,00NE,82.0295
00NEPP,00NE,37.04354
00NEPQ,00NE,94.97299
00NEPR,00NE,85.0059
00NEPS,00NE,94.89125
00NEPT,00NE,79.29531
00NEPU,00NE,47.29463
00NEPW,00NE,75.57866
00NEPX,00NE,21.53434
00NEPY,00NE,90.48782
00NEPZ,00NE,81.44218
00NEQA,00NE,81.88402
00NEQB,00NE,74.81691
00NEQC,00NE,28.65191
00NEQD,00NE,67.20316
00NEQE,00NE,79.10722
00NEQF,00NE,91.58701
00NEQG,00NE,35.87701
00NEQH,00NE,94.8119
00NEQJ,00NE,94.83866
00NGNK,00NG,86.69325
00NGNL,00NG,94.24236
00NGNM,00NG,42.9577
00NGNN,00NG,89.66041
00NGNP,00NG,91.18887
00NGNQ,00NG,87.35716
00NGNR,00NG,94.91089
00NGNS,00NG,94.68535
00NGNT,00NG,95.12209
00NGNU,00NG,95.17753
00NGNW,00NG,95.13423
00NGNX,00NG,94.85824
00NGNY,00NG,93.78675
00NGNZ,00NG,95.13157
00NGPA,00NG,44.27308
00NGPB,00NG,54.91061
00NGPC,00NG,67.46076
00NGPD,00NG,22.60126
00NGPE,00NG,51.8996
00NGPF,00NG,83.8755
00NGPG,00NG,31.36009
00NGPH,00NG,28.96415
00NGPJ,00NG,36.97422
00NGPK,00NG,35.22018
00NGPL,00NG,22.11419
00NGPM,00NG,79.01876
00NGPN,00NG,85.7234
00NGPP,00NG,77.84856
00NGPQ,00NG,95.08264
00NGPR,00NG,95.14694
00NJPJ,00NJ,81.51685
00NJPK,00NJ,77.25373
00NJPL,00NJ,39.20594
00NJPM,00NJ,42.46035
00NJPN,00NJ,76.866
00NJPP,00NJ,77.22795
00NJPQ,00NJ,93.59832
00NJPR,00NJ,75.69097
00NJPS,00NJ,45.67662
00NJPT,00NJ,77.44872
00NJPU,00NJ,56.63301
00NJPW,00NJ,64.43239
00NJPX,00NJ,94.53772
00NJPY,00NJ,94.94003
00NJPZ,00NJ,59.97449
00NJQA,00NJ,75.49187
00NJQB,00NJ,57.6565
00NJQC,00NJ,66.49622
00NJQD,00NJ,69.32681
00NJQE,00NJ,48.99622
00NJQF,00NJ,23.10879
00NJQG,00NJ,56.85932
00NJQH,00NJ,67.39812
00NJQJ,00NJ,83.89173
00NJQK,00NJ,39.23348
00NJQL,00NJ,89.6515
00NJQM,00NJ,90.00839
00NJQN,00NJ,93.78349
00NJQP,00NJ,93.06268
00NJQQ,00NJ,80.52456
00NJQR,00NJ,92.4011
00NJQS,00NJ,51.38386
00NJQT,00NJ,42.40398
00NJQU,00NJ,81.28193
00NJQW,00NJ,91.20789
00NJQX,00NJ,87.98913
00NJQY,00NJ,94.4856
00NJQZ,00NJ,84.29613
00NJRA,00NJ,43.38621
00NJRB,00NJ,80.08788
00NJRC,00NJ,55.41693
00NJRD,00NJ,59.4455
00NJRE,00NJ,51.54355
00NJRF,00NJ,82.4287
00NJRG,00NJ,86.82227
00NJRH,00NJ,87.71672
00NJRJ,00NJ,88.70682
00NJRK,00NJ,71.70331
00NJRL,00NJ,79.04323
00NJRM,00NJ,52.88921
00NJRN,00NJ,85.02036
00NJRP,00NJ,47.50413
00NJRQ,00NJ,20.00545
00NJRR,00NJ,53.39096
00NJRS,00NJ,95.05363
00NJRT,00NJ,93.68985
00NJRU,00NJ,94.42291
00NLNW,00NL,20.12118
00NLNX,00NL,32.77932
00NLNY,00NL,94.7775
00NLNZ,00NL,84.06057
00NLPA,00NL,55.16307
00NLPB,00NL,68.9519
00NLPC,00NL,20.07261
00NLPD,00NL,80.02035
00NLPE,00NL,95.06046
00NLPF,00NL,90.82564
00NLPG,00NL,86.95914
00NLPH,00NL,82.02444
00NLPJ,00NL,50.53873
00NLPK,00NL,79.49355
00NLPL,00NL,19.94696
00NLPM,00NL,83.23748
00NLPN,00NL,32.84231
00NLPP,00NL,68.87813
00NLPQ,00NL,68.11749
00NLPR,00NL,74.28793
00NLPS,00NL,66.12
00NLPT,00NL,34.57788
00NLPU,00NL,87.73428
00NLPW,00NL,28.09637
00NLPX,00NL,22.07841
00NLPY,00NL,93.99352
00NLPZ,00NL,82.0217
00NLQA,00NL,20.70915
00NLQB,00NL,93.75906
00NLQC,00NL,78.49136
00NLQD,00NL,91.20264
00NLQE,00NL,53.36782
00NLQF,00NL,30.58559
00NLQG,00NL,93.38309
00NLQH,00NL,35.12257
00NLQJ,00NL,79.00249
00NLQK,00NL,92.96074
00NLQL,00NL,40.91365
00NLQM,00NL,90.37309
00NLQN,00NL,19.25699
00NLQP,00NL,19.6979
00NLQQ,00NL,93.18565
00NLQR,00NL,85.79919
00NLQS,00NL,19.70695
00NLQT,00NL,19.7443
00NLQU,00NL,27.91427
00NLQW,00NL,18.41898
00NNQG,00NN,91.63
00NNQH,00NN,95.18552
00NNQJ,00NN,95.18366
00NNQK,00NN,95.15711
00NNQL,00NN,94.84198
00NNQM,00NN,95.17067
00NNQN,00NN,72.65911
00NNQP,00NN,95.02395
00NNQQ,00NN,94.91148
00NNQR,00NN,95.15545
00NNQS,00NN,94.54948
00NNQT,00NN,87.46094
00NNQU,00NN,94.93673
00NNQW,00NN,95.14803
00NNQX,00NN,95.17651
00NNQY,00NN,94.31525
00NNQZ,00NN,95.13351
00NNRA,00NN,95.01118
00NNRB,00NN,94.66615
00NNRC,00NN,94.8996
00NNRD,00NN,70.78622
00NNRE,00NN,94.97241
00NNRF,00NN,90.99568
00NNRG,00NN,94.72234
00NNRH,00NN,95.16665
00NNRJ,00NN,95.18382
00NNRK,00NN,95.17418
00NNRL,00NN,55.18453
00NNRM,00NN,82.26266
00NNRN,00NN,84.9311
00NNRP,00NN,94.6786
00NNRQ,00NN,93.4976
00NNRR,00NN,94.84163
00NNRS,00NN,94.8456
00NNRT,00NN,95.17509
00NNRU,00NN,94.42427
00NNRW,00NN,94.28278
00NNRX,00NN,91.62325
00NNRY,00NN,95.18115
00NNRZ,00NN,94.50288
00NNSA,00NN,84.62157
00NNSB,00NN,94.67536
00NNSC,00NN,95.17465
00NNSD,00NN,94.68987
00NNSE,00NN,95.15953
00NNSF,00NN,95.12462
00NNSG,00NN,81.31521
00NNSH,00NN,94.85456
00NNSJ,00NN,94.8947
00NNSK,00NN,93.05061
00NNSL,00NN,95.18333
00NNSM,00NN,24.21179
00NNSN,00NN,83.99561
00NNSP,00NN,90.25654
00NNSQ,00NN,89.27389
00NNSR,00NN,69.42131
00NNST,00NN,95.05034
00NNSU,00NN,92.65498
00NNSW,00NN,93.37292
00NNSX,00NN,95.17117
00NNSY,00NN,77.58706
00NNSZ,00NN,69.41846
00NNTA,00NN,74.74254
00NNTB,00NN,94.62163
00NNTC,00NN,94.19703
00NNTD,00NN,94.47221
00NNTE,00NN,95.14572
00NNTF,00NN,89.7977
00NNTG,00NN,90.35843
00NNTH,00NN,89.62474
00NNTJ,00NN,77.00374
00NNTK,00NN,95.0538
00NNTL,00NN,93.56432
00NQNP,00NQ,72.57907
00NQNQ,00NQ,90.3173
00NQNR,00NQ,81.88723
00NQNS,00NQ,79.15017
00NQNT,00NQ,82.88962
00NQNU,00NQ,32.9261
00NQNW,00NQ,15.76872
00NQNX,00NQ,79.64555
00NQNY,00NQ,74.71295
00NQNZ,00NQ,40.0432
00NQPA,00NQ,95.15149
00NQPB,00NQ,85.06121
00NQPC,00NQ,95.16364
00NQPD,00NQ,90.52816
00NQPE,00NQ,93.43309
00NQPF,00NQ,90.88225
00NQPG,00NQ,89.36053
00NQPH,00NQ,95.13216
00NQPJ,00NQ,84.19012
00NQPK,00NQ,33.47728
00NQPL,00NQ,94.75327
00NQPM,00NQ,94.41967
00NQPN,00NQ,94.85396
00NQPP,00NQ,94.45105
00NQPQ,00NQ,95.15724
00NQPR,00NQ,95.05451
00NQPS,00NQ,95.16186
00NQPT,00NQ,94.75855
00NQPU,00NQ,93.7142
00NQPW,00NQ,95.13516
00NQPX,00NQ,95.0417
00NQPY,00NQ,94.84012
00NQPZ,00NQ,85.54682
00NQQA,00NQ,94.23545
00NQQB,00NQ,94.28654
00NQQC,00NQ,95.02454
00NQQD,00NQ,94.29666
00NQQE,00NQ,95.17343
00NQQF,00NQ,95.13663
00NQQG,00NQ,95.15593
00NSPH,00NS,91.48193
00NSPJ,00NS,94.67763
00NSPK,00NS,94.06765
00NSPL,00NS,90.98722
00NSPM,00NS,95.13617
00NSPN,00NS,95.1651
00NSPP,00NS,95.16178
00NSPQ,00NS,95.17345
00NSPR,00NS,95.07796
00NSPS,00NS,69.96997
00NSPT,00NS,66.57854
00NSPU,00NS,71.30399
00NSPW,00NS,21.9253
00NSPX,00NS,74.60631
00NSPY,00NS,36.60713
00NSPZ,00NS,53.3054
00NSQA,00NS,65.4109
00NSQB,00NS,89.24181
00NSQC,00NS,93.52248
00NSQD,00NS,95.05802
00NSQE,00NS,95.15186
00NSQF,00NS,93.60485
00NSQG,00NS,95.14777
00NSQH,00NS,92.03522
00NSQJ,00NS,95.15488
00NSQK,00NS,94.93449
00NSQL,00NS,94.52177
00NSQM,00NS,92.74986
00NSQN,00NS,86.3172
00NSQP,00NS,26.12725
00NSQQ,00NS,83.72998
00NSQR,00NS,20.23673
00NSQS,00NS,76.92438
00NSQT,00NS,76.06406
00NSQU,00NS,41.65947
00NSQW,00NS,67.27043
00NSQX,00NS,95.01853
00NSQY,00NS,90.6786
00NSQZ,00NS,42.62998
00NSRA,00NS,89.27089
00NSRB,00NS,21.0533
00NSRC,00NS,56.87104
00NSRD,00NS,27.12559
00NSRE,00NS,58.25967
00NSRF,00NS,65.13468
00NSRG,00NS,71.6068
00NSRH,00NS,59.71257
00NSRJ,00NS,85.98912
00NSRK,00NS,93.1222
00NSRL,00NS,92.28359
00NSRM,00NS,94.14062
00NSRN,00NS,93.7774
00NSRP,00NS,90.754
00NSRQ,00NS,81.18044
00NSRR,00NS,95.16823
00NSRS,00NS,92.37849
00NSRT,00NS,72.33253
00NSRU,00NS,69.00663
00NSRW,00NS,93.38032
00NSRX,00NS,94.57911
00NUPW,00NU,95.13889
00NUPX,00NU,45.71209
00NUPY,00NU,94.04007
00NUPZ,00NU,39.80795
00NUQA,00NU,54.52097
00NUQB,00NU,76.09552
00NUQC,00NU,71.93574
00NUQD,00NU,77.28709
00NUQE,00NU,87.62695
00NUQF,00NU,94.53597
00NUQG,00NU,95.17862
00NUQH,00NU,95.16334
00NUQJ,00NU,95.18099
00NUQK,00NU,60.34819
00NUQL,00NU,22.75587
00NUQM,00NU,79.7271
00NUQN,00NU,92.2424
00NUQP,00NU,91.91589
00NUQQ,00NU,33.83016
00NUQR,00NU,93.53939
00NUQS,00NU,92.13728
00NUQT,00NU,92.87605
00NUQU,00NU,69.2857
00NUQW,00NU,87.61562
00NUQX,00NU,80.65823
00NUQY,00NU,95.16806
00NUQZ,00NU,95.13927
00NURA,00NU,93.21787
00NURB,00NU,94.65576
00NURC,00NU,91.40977
00NURD,00NU,95.1721
00NURE,00NU,95.14504
00NURF,00NU,94.39054
00NURG,00NU,94.91357
00NURH,00NU,95.12317
00NURJ,00NU,85.9731
00NURK,00NU,92.64037
00NURL,00NU,94.2169
00NURM,00NU,92.72959
00NURN,00NU,87.70649
00NURP,00NU,94.16502
00NURQ,00NU,23.12296
00NURR,00NU,64.19639
00NURS,00NU,95.15872
00NURT,00NU,59.02987
00NURU,00NU,92.84777
00NURW,00NU,68.08754
00NURX,00NU,94.91427
00NURY,00NU,93.71223
00NURZ,00NU,95.06571
00NUSA,00NU,89.08009
00NUSB,00NU,86.94733
00NUSC,00NU,90.17322
00NUSD,00NU,95.17148
00NUSE,00NU,91.0278
00NUSF,00NU,91.60124
00NUSG,00NU,16.32459
00NUSH,00NU,93.97185
00NXNW,00NX,82.02119
00NXNX,00NX,75.26431
00NXNY,00NX,26.08468
00NXNZ,00NX,72.34179
00NXPA,00NX,54.00867
00NXPB,00NX,17.40258
00NXPC,00NX,53.27732
00NXPD,00NX,92.50983
00NXPE,00NX,57.0474
00NXPF,00NX,79.50471
00NXPG,00NX,79.4838
00NXPH,00NX,64.93759
00NXPJ,00NX,58.85461
00NXPK,00NX,80.07912
00NXPL,00NX,32.55667
00NXPM,00NX,91.75028
00NXPN,00NX,69.42377
00NXPP,00NX,54.37729
00NXPQ,00NX,95.14806
00NXPR,00NX,60.24742
00NXPS,00NX,44.16847
00NXPT,00NX,36.07029
00NXPU,00NX,54.64469
00NXPW,00NX,33.72168
00NXPX,00NX,70.56512
00NXPY,00NX,49.39012
00NXPZ,00NX,78.14462
00NXQA,00NX,88.27658
00NXQB,00NX,81.14067
00NXQC,00NX,88.2233
00NXQD,00NX,57.58721
00NXQE,00NX,41.53837
00NXQF,00NX,18.44843
00NXQG,00NX,17.33003
00NXQH,00NX,51.71656
00NXQJ,00NX,31.10791
00NZMA,00NZ,37.37147
00NZMB,00NZ,89.55397
00NZMC,00NZ,76.63278
00NZMD,00NZ,55.55462
00NZME,00NZ,85.91338
00NZMF,00NZ,83.91087
00NZMG,00NZ,61.29009
00NZMH,00NZ,88.60991
00NZMJ,00NZ,79.1981
00NZMK,00NZ,23.99661
00NZML,00NZ,76.2252
00NZMM,00NZ,79.71655
00NZMN,00NZ,26.89081
00NZMP,00NZ,66.26261
00NZMQ,00NZ,57.91828
00NZMR,00NZ,89.35606
00NZMS,00NZ,93.10475
00NZMT,00NZ,91.26505
00NZMU,00NZ,76.93311
00NZMW,00NZ,93.74255
00NZMX,00NZ,91.66701
00NZMY,00NZ,94.57822
00NZMZ,00NZ,83.12653
00NZNA,00NZ,92.93477
00NZNB,00NZ,74.02876
00NZNC,00NZ,81.58184
00NZND,00NZ,57.84008
00NZNE,00NZ,43.39459
00NZNF,00NZ,41.79338
00NZNG,00NZ,91.1012
00NZNH,00NZ,95.11631
00NZNJ,00NZ,89.81052
00NZNK,00NZ,73.40276
00NZNL,00NZ,93.18449
00NZNM,00NZ,92.3427
00NZNN,00NZ,18.45413
00NZNP,00NZ,21.71819
00NZNQ,00NZ,86.81084
00NZNR,00NZ,82.43292
00NZNS,00NZ,86.1944
00NZNT,00NZ,74.01133
00NZNU,00NZ,80.55293
00PBNF,00PB,91.76597
00PBNG,00PB,94.62157
00PBNH,00PB,93.19031
00PBNJ,00PB,92.62416
00PBNK,00PB,20.08713
00PBNL,00PB,88.76839
00PBNM,00PB,69.41336
00PBNN,00PB,77.35459
00PBNP,00PB,84.64062
00PBNQ,00PB,86.39706
00PBNR,00PB,57.0912
00PBNS,00PB,90.28721
00PBNT,00PB,50.71827
00PBNU,00PB,74.2011
00PBNW,00PB,73.32561
00PBNX,00PB,74.18814
00PBNY,00PB,56.17433
00PBNZ,00PB,93.19517
00PBPA,00PB,51.30273
00PBPB,00PB,91.07892
00PBPC,00PB,79.15647
00PBPD,00PB,71.47995
00PBPE,00PB,20.9642
00PBPF,00PB,92.02505
00PBPG,00PB,23.05675
00PBPH,00PB,67.59305
00PBPJ,00PB,73.27212
00PBPK,00PB,89.94895
00PBPL,00PB,60.22745
00PBPM,00PB,29.71133
00PBPN,00PB,92.80602
00PBPP,00PB,76.73002
00PBPQ,00PB,89.15073
00PBPR,00PB,46.43682
00PBPS,00PB,18.48744
00PBPT,00PB,47.2359
00PBPU,00PB,32.00638
00PBPW,00PB,48.38196
00PBPX,00PB,48.94558
00PDMZ,00PD,36.18473
00PDNA,00PD,21.01823
00PDNB,00PD,47.29516
00PDNC,00PD,48.30218
00PDND,00PD,28.06075
00PDNE,00PD,16.601
00PDNF,00PD,92.34837
00PDNG,00PD,87.72359
00PDNH,00PD,67.53484
00PDNJ,00PD,45.06479
00PDNK,00PD,47.52141
00PDNL,00PD,48.28202
00PDNM,00PD,93.42095
00PDNN,00PD,85.08899
00PDNP,00PD,94.887
00PDNQ,00PD,46.48962
00PDNR,00PD,87.90902
00PDNS,00PD,79.03939
00PDNT,00PD,22.14183
00PDNU,00PD,89.65034
00PDNW,00PD,29.74122
00PDNX,00PD,67.0845
00PDNY,00PD,93.34615
00PFPH,00PF,75.28784
00PFPJ,00PF,85.11117
00PFPK,00PF,71.37531
00PFPL,00PF,74.94678
00PFPM,00PF,81.38264
00PFPN,00PF,78.53547
00PFPP,00PF,83.85266
00PFPQ,00PF,57.61049
00PFPR,00PF,78.38037
00PFPS,00PF,89.10224
00PFPT,00PF,81.50437
00PFPU,00PF,77.1793
00PFPW,00PF,75.12634
00PFPX,00PF,87.78242
00PFPY,00PF,67.20319
00PFPZ,00PF,82.91636
00PFQA,00PF,68.05795
00PFQB,00PF,70.38004
00PFQC,00PF,88.33456
00PFQD,00PF,81.88892
00PFQE,00PF,84.56436
00PFQF,00PF,80.80309
00PFQG,00PF,73.49292
00PFQH,00PF,89.18272
00PFQJ,00PF,85.45622
00PFQK,00PF,70.95794
00PFQL,00PF,55.4217
00PFQM,00PF,85.34154
00PFQN,00PF,79.35693
00PFQP,00PF,79.0881
00PFQQ,00PF,84.48557
00PFQR,00PF,67.43011
00PFQS,00PF,59.74334
00PFQT,00PF,92.98737
00PFQU,00PF,76.84768
00PFQW,00PF,76.97475
00PFQX,00PF,76.96236
00PFQY,00PF,53.08472
00PFQZ,00PF,80.01615
00PFRA,00PF,81.83158
00PFRB,00PF,87.81976
00PFRC,00PF,81.18726
00PFRD,00PF,43.90247
00PFRE,00PF,67.64934
00PFRF,00PF,63.91639
00PFRG,00PF,90.9352
00PFRH,00PF,83.55257
00PFRJ,00PF,76.4175
00PFRK,00PF,24.76101
00PFRL,00PF,79.80059
00PFRM,00PF,91.13602
00PFRN,00PF,82.79021
00PHMA,00PH,90.49018
00PHMB,00PH,66.49263
00PHMC,00PH,74.88706
00PHMD,00PH,28.94864
00PHME,00PH,81.32554
00PHMF,00PH,39.38758
00PHMG,00PH,18.49341
00PHMH,00PH,88.22908
00PHMJ,00PH,66.18645
00PHMK,00PH,75.98403
00PHML,00PH,89.00589
00PKNP,00PK,61.31884
00PKNQ,00PK,87.36771
00PKNR,00PK,85.8134
00PKNS,00PK,90.85769
00PKNT,00PK,55.60851
00PKNU,00PK,81.88698
00PKNW,00PK,55.00425
00PKNX,00PK,18.35389
00PKNY,00PK,76.10527
00PKNZ,00PK,81.68153
00PKPA,00PK,93.55863
00PKPB,00PK,44.71846
00PKPC,00PK,49.35263
00PKPD,00PK,78.4168
00PKPE,00PK,77.93536
00PKPF,00PK,21.96225
00PKPG,00PK,74.50895
00PKPH,00PK,87.73541
00PKPJ,00PK,77.61775
00PKPK,00PK,83.96441
00PKPL,00PK,31.43362
00PKPM,00PK,79.71355
00PKPN,00PK,54.47118
00PKPP,00PK,51.07256
00PKPQ,00PK,72.22746
00PKPR,00PK,56.72417
00PKPS,00PK,62.50008
00PKPT,00PK,78.75485
00PKPU,00PK,90.96642
00PKPW,00PK,67.19642
00PKPX,00PK,91.42066
00PKPY,00PK,86.90248
00PKPZ,00PK,73.51942
00PLMA,00PL,82.2014
00PLMB,00PL,55.0624
00PLMC,00PL,80.46411
00PLMD,00PL,77.63097
00PLME,00PL,77.31441
00PLMF,00PL,82.91619
00PLMG,00PL,84.62979
00PLMH,00PL,54.66443
00PLMJ,00PL,75.30022
00PLMK,00PL,80.613
00PLML,00PL,83.11229
00PLMM,00PL,80.95393
00PLMN,00PL,71.88981
00PLMP,00PL,86.93247
00PLMQ,00PL,83.51903
00PLMR,00PL,80.89468
00PMNC,00PM,88.84857
00PMND,00PM,86.38144
00PMNE,00PM,18.30806
00PMNF,00PM,20.47503
00PMNG,00PM,47.96803
00PMNH,00PM,58.40701
00PMNJ,00PM,85.51465
00PMNK,00PM,39.72832
00PMNL,00PM,72.28823
00PMNM,00PM,66.46148
00PMNN,00PM,71.64213
00PMNP,00PM,80.45524
00PMNQ,00PM,77.72983
00PMNR,00PM,44.72548
00PMNS,00PM,45.33265
00PMNT,00PM,82.67792
00PMNU,00PM,42.25554
00PMNW,00PM,86.96845
00PMNX,00PM,52.18065
00PMNY,00PM,49.3829
00PMNZ,00PM,72.24133
00PMPA,00PM,86.76385
00PMPB,00PM,73.83266
00PMPC,00PM,88.57256
00PPNQ,00PP,87.36477
00PPNR,00PP,43.66882
00PPNS,00PP,85.45305
00PPNT,00PP,47.66202
00PPNU,00PP,55.03286
00PPNW,00PP,95.17207
00PPNX,00PP,95.16123
00PPNY,00PP,17.63829
00PPNZ,00PP,85.26328
00PPPA,00PP,86.64291
00PPPB,00PP,93.30154
00PPPC,00PP,18.49507
00PPPD,00PP,49.93136
00PPPE,00PP,22.35684
00PPPF,00PP,20.36448
00PPPG,00PP,92.25816
00PPPH,00PP,92.60226
00PPPJ,00PP,93.33422
00PPPK,00PP,95.07672
00PPPL,00PP,94.25002
00PPPM,00PP,94.77757
00PPPN,00PP,90.50452
00PPPP,00PP,93.92797
00PPPQ,00PP,49.42189
00PPPR,00PP,94.31642
00PPPS,00PP,76.72666
00PPPT,00PP,62.78571
00PPPU,00PP,22.84885
00PPPW,00PP,94.41653
00PPPX,00PP,49.67787
00PPPY,00PP,93.38552
00PPPZ,00PP,19.19266
00PPQA,00PP,55.60423
00PPQB,00PP,20.30566
00PPQC,00PP,32.16385
00PPQD,00PP,89.42828
00PPQE,00PP,84.80827
00PPQF,00PP,44.80211
00PPQG,00PP,95.12041
00PPQH,00PP,78.22044
00PPQJ,00PP,34.8305
00PPQK,00PP,89.3548
00PRMX,00PR,46.87038
00PRMY,00PR,19.22033
00PRMZ,00PR,21.19226
00PRNA,00PR,71.56319
00PRNB,00PR,79.66092
00PRNC,00PR,43.73272
00PRND,00PR,84.40166
00PRNE,00PR,91.66323
00PRNF,00PR,60.91679
00PRNG,00PR,72.6208
00PRNH,00PR,31.17033
00PRNJ,00PR,75.2029
00PRNK,00PR,41.9192
00PRNL,00PR,32.79476
00PRNM,00PR,61.46481
00PRNN,00PR,32.67593
00PRNP,00PR,20.25903
00PRNQ,00PR,21.30272
00PRNR,00PR,55.99592
00PRNS,00PR,15.50031
00PTNF,00PT,18.04406
00PTNG,00PT,49.88591
00PTNH,00PT,39.52721
00PTNJ,00PT,33.83319
00PTNK,00PT,40.0163
00PTNL,00PT,87.48766
00PTNM,00PT,28.9756
00PTNN,00PT,26.99414
00PTNP,00PT,27.40574
00PTNQ,00PT,17.16851
00PTNR,00PT,35.1928
00PTNS,00PT,27.95159
00PTNT,00PT,81.62896
00PTNU,00PT,27.64855
00PTNW,00PT,27.13853
00PTNX,00PT,23.24647
00PTNY,00PT,32.90203
00PTNZ,00PT,25.68139
00PTPA,00PT,87.45855
00PTPB,00PT,29.47438
00PTPC,00PT,19.7429
00PTPD,00PT,73.5853
00PTPE,00PT,59.35646
00PTPF,00PT,56.08765
00PTPG,00PT,38.93154
00PTPH,00PT,47.70081
00PTPJ,00PT,37.27458
00PTPK,00PT,50.7523
00PTPL,00PT,55.8917
01C01,01C0,84.64525
01C02,01C0,68.01425
01C03,01C0,83.72691
01C04,01C0,18.09864
01C05,01C0,80.27364
01C06,01C0,36.67346
01C07,01C0,35.20563
01C08,01C0,89.06529
01C09,01C0,24.77064
01C10,01C1,18.34706
01C11,01C1,17.91864
01C12,01C1,16.22266
01C13,01C1,49.57416
01C14,01C1,19.32483
01C15,01C1,43.61932
01C16,01C1,29.0893
01C17,01C1,26.18804
01C18,01C1,45.57358
01C19,01C1,17.46368
01C20,01C2,36.21938
